year,weekofyear,city,total_cases
2010,26,iq,4.4167747
2010,27,iq,1.4744345
2010,28,iq,4.185679
2010,29,iq,2.1122153
2010,30,iq,-2.0562036
2010,31,iq,1.893818
2010,32,iq,-4.5911345
2010,33,iq,0.8967186
2010,34,iq,-3.9835634
2010,35,iq,-0.26271003
2010,36,iq,4.161009
2010,37,iq,1.4554565
2010,38,iq,-0.7949458
2010,39,iq,-2.6725066
2010,40,iq,-6.783372
2010,41,iq,1.1391634
2010,42,iq,0.845417
2010,43,iq,5.209215
2010,44,iq,5.8692956
2010,45,iq,-2.7717783
2010,46,iq,1.9787196
2010,47,iq,5.9827204
2010,48,iq,6.5953107
2010,49,iq,5.926989
2010,50,iq,4.018932
2010,51,iq,2.8675933
2011,52,iq,3.8326151
2011,1,iq,0.4690837
2011,2,iq,4.0845613
2011,3,iq,5.2866406
2011,4,iq,1.5558362
2011,5,iq,3.5254977
2011,6,iq,5.32523
2011,7,iq,0.5452885
2011,8,iq,5.8757744
2011,9,iq,6.523473
2011,10,iq,5.547007
2011,11,iq,3.0401382
2011,12,iq,7.203395
2011,13,iq,7.3390517
2011,14,iq,4.9999523
2011,15,iq,7.9959006
2011,16,iq,5.4745955
2011,17,iq,6.024868
2011,18,iq,5.842317
2011,19,iq,3.8051202
2011,20,iq,5.214359
2011,21,iq,7.0069857
2011,22,iq,5.6446977
2011,23,iq,10.257996
2011,24,iq,-0.6447413
2011,25,iq,2.948359
2011,26,iq,1.3067666
2011,27,iq,6.1242805
2011,28,iq,-1.5539376
2011,29,iq,-0.40772244
2011,30,iq,1.4134917
2011,31,iq,-1.414103
2011,32,iq,-1.5545667
2011,33,iq,-2.5158443
2011,34,iq,-0.9234152
2011,35,iq,-2.7815213
2011,36,iq,-0.87526214
2011,37,iq,3.1280036
2011,38,iq,-1.1517495
2011,39,iq,1.9662383
2011,40,iq,2.7381527
2011,41,iq,5.707754
2011,42,iq,6.319802
2011,43,iq,-0.3425247
2011,44,iq,0.76981527
2011,45,iq,1.8223487
2011,46,iq,1.6042993
2011,47,iq,5.46583
2011,48,iq,4.051987
2011,49,iq,4.8836412
2011,50,iq,6.3600044
2011,51,iq,2.4858613
2012,52,iq,4.7723436
2012,1,iq,8.682746
2012,2,iq,4.4767766
2012,3,iq,4.8854055
2012,4,iq,2.5612826
2012,5,iq,5.849143
2012,6,iq,4.3744206
2012,7,iq,5.600027
2012,8,iq,2.6463733
2012,9,iq,4.89683
2012,10,iq,3.126899
2012,11,iq,4.476017
2012,12,iq,0.7719858
2012,13,iq,4.1461983
2012,14,iq,4.262457
2012,15,iq,5.8169456
2012,16,iq,8.843756
2012,17,iq,2.3860054
2012,18,iq,6.724385
2012,19,iq,1.693998
2012,20,iq,5.6561437
2012,21,iq,2.6778543
2012,22,iq,2.406177
2012,23,iq,2.8722124
2012,24,iq,0.71067864
2012,25,iq,-0.15883721
2012,26,iq,-2.4789236
2012,27,iq,0.3068689
2012,28,iq,0.39596105
2012,29,iq,-0.5561029
2012,30,iq,-4.895731
2012,31,iq,0.9873684
2012,32,iq,-2.5785947
2012,33,iq,-1.2612625
2012,34,iq,-1.3226125
2012,35,iq,0.80629015
2012,36,iq,10.670096
2012,37,iq,-1.3686862
2012,38,iq,-5.043504
2012,39,iq,-1.635289
2012,40,iq,0.65927136
2012,41,iq,3.6571844
2012,42,iq,2.7618546
2012,43,iq,7.1234646
2012,44,iq,1.9542542
2012,45,iq,1.9402897
2012,46,iq,5.6268306
2012,47,iq,10.871239
2012,48,iq,7.708052
2012,49,iq,3.7149715
2012,50,iq,4.1995196
2012,51,iq,7.0823855
2013,1,iq,6.107178
2013,2,iq,5.8149304
2013,3,iq,6.058005
2013,4,iq,6.792467
2013,5,iq,5.731523
2013,6,iq,4.4319763
2013,7,iq,1.5229927
2013,8,iq,5.71886
2013,9,iq,6.7450857
2013,10,iq,8.1765995
2013,11,iq,6.889273
2013,12,iq,7.9513226
2013,13,iq,6.2247424
2013,14,iq,3.207835
2013,15,iq,4.8156867
2013,16,iq,6.1654544
2013,17,iq,7.5932074
2013,18,iq,-4.7441273
2013,19,iq,4.840124
2013,20,iq,5.1042852
2013,21,iq,5.210272
2013,22,iq,2.777185
2013,23,iq,3.9355662
2013,24,iq,3.6247258
2013,25,iq,0.6790393
2013,26,iq,-0.8075407
