year,weekofyear,city,total_cases
2010,26,iq,4.829056
2010,27,iq,1.2820449
2010,28,iq,6.1354003
2010,29,iq,0.40906918
2010,30,iq,-0.11309003
2010,31,iq,2.2457852
2010,32,iq,-3.0002263
2010,33,iq,1.5467002
2010,34,iq,-2.428239
2010,35,iq,2.5619633
2010,36,iq,3.6154008
2010,37,iq,0.7850933
2010,38,iq,4.064829
2010,39,iq,-0.1105493
2010,40,iq,-0.2621163
2010,41,iq,2.862456
2010,42,iq,5.6396303
2010,43,iq,7.4588227
2010,44,iq,11.1507015
2010,45,iq,6.0390644
2010,46,iq,6.8205695
2010,47,iq,8.682098
2010,48,iq,7.395617
2010,49,iq,9.257649
2010,50,iq,5.88666
2010,51,iq,1.6215034
2011,52,iq,4.547807
2011,1,iq,1.7519863
2011,2,iq,5.034832
2011,3,iq,5.093466
2011,4,iq,0.5086079
2011,5,iq,4.288248
2011,6,iq,6.030216
2011,7,iq,6.8301277
2011,8,iq,7.531233
2011,9,iq,8.050847
2011,10,iq,5.9196143
2011,11,iq,5.8305736
2011,12,iq,7.2489343
2011,13,iq,7.6151495
2011,14,iq,8.1915
2011,15,iq,5.74427
2011,16,iq,5.4368615
2011,17,iq,7.1411004
2011,18,iq,8.645488
2011,19,iq,0.06336657
2011,20,iq,3.5708659
2011,21,iq,16.175322
2011,22,iq,13.941053
2011,23,iq,11.320936
2011,24,iq,13.676669
2011,25,iq,7.3890915
2011,26,iq,11.837344
2011,27,iq,12.010589
2011,28,iq,2.3314028
2011,29,iq,-0.103937656
2011,30,iq,0.43296683
2011,31,iq,-0.8262357
2011,32,iq,0.7072021
2011,33,iq,-4.069844
2011,34,iq,-0.8411538
2011,35,iq,-1.7309209
2011,36,iq,-1.3214285
2011,37,iq,1.917617
2011,38,iq,2.0474029
2011,39,iq,4.5541296
2011,40,iq,4.0799174
2011,41,iq,6.080369
2011,42,iq,7.8808246
2011,43,iq,5.8856096
2011,44,iq,4.8867993
2011,45,iq,6.2769017
2011,46,iq,7.276813
2011,47,iq,7.398799
2011,48,iq,6.3426666
2011,49,iq,7.002308
2011,50,iq,6.4577847
2011,51,iq,6.0989237
2012,52,iq,7.548824
2012,1,iq,10.103919
2012,2,iq,5.6066675
2012,3,iq,4.8485045
2012,4,iq,3.5275648
2012,5,iq,6.35446
2012,6,iq,7.00114
2012,7,iq,4.798236
2012,8,iq,2.6894097
2012,9,iq,3.3809536
2012,10,iq,5.504644
2012,11,iq,3.4374456
2012,12,iq,2.928472
2012,13,iq,6.5681906
2012,14,iq,4.16336
2012,15,iq,6.8985066
2012,16,iq,7.3990946
2012,17,iq,5.4162145
2012,18,iq,5.612219
2012,19,iq,1.8903852
2012,20,iq,5.3561015
2012,21,iq,1.0662538
2012,22,iq,0.9879412
2012,23,iq,2.3150153
2012,24,iq,1.1459502
2012,25,iq,2.40089
2012,26,iq,1.8636838
2012,27,iq,0.9386989
2012,28,iq,0.0589614
2012,29,iq,2.35526
2012,30,iq,-3.4076247
2012,31,iq,-0.9814248
2012,32,iq,-2.2884862
2012,33,iq,-2.3585882
2012,34,iq,2.3921745
2012,35,iq,-0.32465988
2012,36,iq,3.4822667
2012,37,iq,-0.13365355
2012,38,iq,-1.8343526
2012,39,iq,1.288862
2012,40,iq,0.329331
2012,41,iq,5.1533217
2012,42,iq,4.302061
2012,43,iq,7.901595
2012,44,iq,5.946687
2012,45,iq,5.167219
2012,46,iq,8.652675
2012,47,iq,10.529676
2012,48,iq,11.136095
2012,49,iq,6.395305
2012,50,iq,8.795823
2012,51,iq,9.182959
2013,1,iq,6.41293
2013,2,iq,2.6505947
2013,3,iq,2.8501902
2013,4,iq,6.9785857
2013,5,iq,4.66859
2013,6,iq,8.028298
2013,7,iq,5.961445
2013,8,iq,7.509797
2013,9,iq,5.6387386
2013,10,iq,6.146852
2013,11,iq,8.106564
2013,12,iq,10.220755
2013,13,iq,8.682771
2013,14,iq,6.135903
2013,15,iq,5.5821776
2013,16,iq,7.772466
2013,17,iq,6.656341
2013,18,iq,-1.6847906
2013,19,iq,7.1648083
2013,20,iq,5.922317
2013,21,iq,4.1714096
2013,22,iq,3.5143743
2013,23,iq,4.3840704
2013,24,iq,1.4765308
2013,25,iq,-1.5895151
2013,26,iq,0.7701368
