year,weekofyear,city,total_cases
2010,26,iq,116.0
2010,27,iq,116.0
2010,28,iq,116.0
2010,29,iq,116.0
2010,30,iq,116.0
2010,31,iq,116.0
2010,32,iq,116.0
2010,33,iq,116.0
2010,34,iq,116.0
2010,35,iq,116.0
2010,36,iq,116.0
2010,37,iq,116.0
2010,38,iq,116.0
2010,39,iq,116.0
2010,40,iq,116.0
2010,41,iq,116.0
2010,42,iq,116.0
2010,43,iq,116.0
2010,44,iq,116.0
2010,45,iq,116.0
2010,46,iq,116.0
2010,47,iq,116.0
2010,48,iq,116.0
2010,49,iq,116.0
2010,50,iq,116.0
2010,51,iq,116.0
2011,52,iq,116.0
2011,1,iq,116.0
2011,2,iq,116.0
2011,3,iq,116.0
2011,4,iq,116.0
2011,5,iq,116.0
2011,6,iq,116.0
2011,7,iq,116.0
2011,8,iq,116.0
2011,9,iq,116.0
2011,10,iq,116.0
2011,11,iq,116.0
2011,12,iq,116.0
2011,13,iq,116.0
2011,14,iq,116.0
2011,15,iq,116.0
2011,16,iq,116.0
2011,17,iq,116.0
2011,18,iq,116.0
2011,19,iq,116.0
2011,20,iq,116.0
2011,21,iq,116.0
2011,22,iq,116.0
2011,23,iq,116.0
2011,24,iq,116.0
2011,25,iq,116.0
2011,26,iq,116.0
2011,27,iq,116.0
2011,28,iq,116.0
2011,29,iq,116.0
2011,30,iq,116.0
2011,31,iq,116.0
2011,32,iq,116.0
2011,33,iq,116.0
2011,34,iq,116.0
2011,35,iq,116.0
2011,36,iq,116.0
2011,37,iq,116.0
2011,38,iq,116.0
2011,39,iq,116.0
2011,40,iq,116.0
2011,41,iq,116.0
2011,42,iq,116.0
2011,43,iq,116.0
2011,44,iq,116.0
2011,45,iq,116.0
2011,46,iq,116.0
2011,47,iq,116.0
2011,48,iq,116.0
2011,49,iq,116.0
2011,50,iq,116.0
2011,51,iq,116.0
2012,52,iq,116.0
2012,1,iq,116.0
2012,2,iq,116.0
2012,3,iq,116.0
2012,4,iq,116.0
2012,5,iq,116.0
2012,6,iq,116.0
2012,7,iq,116.0
2012,8,iq,116.0
2012,9,iq,116.0
2012,10,iq,116.0
2012,11,iq,116.0
2012,12,iq,116.0
2012,13,iq,116.0
2012,14,iq,116.0
2012,15,iq,116.0
2012,16,iq,116.0
2012,17,iq,116.0
2012,18,iq,116.0
2012,19,iq,116.0
2012,20,iq,116.0
2012,21,iq,116.0
2012,22,iq,116.0
2012,23,iq,116.0
2012,24,iq,116.0
2012,25,iq,116.0
2012,26,iq,116.0
2012,27,iq,116.0
2012,28,iq,116.0
2012,29,iq,116.0
2012,30,iq,116.0
2012,31,iq,116.0
2012,32,iq,116.0
2012,33,iq,116.0
2012,34,iq,116.0
2012,35,iq,116.0
2012,36,iq,116.0
2012,37,iq,116.0
2012,38,iq,116.0
2012,39,iq,116.0
2012,40,iq,116.0
2012,41,iq,116.0
2012,42,iq,116.0
2012,43,iq,116.0
2012,44,iq,116.0
2012,45,iq,116.0
2012,46,iq,116.0
2012,47,iq,116.0
2012,48,iq,116.0
2012,49,iq,116.0
2012,50,iq,116.0
2012,51,iq,116.0
2013,1,iq,116.0
2013,2,iq,116.0
2013,3,iq,116.0
2013,4,iq,116.0
2013,5,iq,116.0
2013,6,iq,116.0
2013,7,iq,116.0
2013,8,iq,116.0
2013,9,iq,116.0
2013,10,iq,116.0
2013,11,iq,116.0
2013,12,iq,116.0
2013,13,iq,116.0
2013,14,iq,116.0
2013,15,iq,116.0
2013,16,iq,116.0
2013,17,iq,116.0
2013,18,iq,116.0
2013,19,iq,116.0
2013,20,iq,116.0
2013,21,iq,116.0
2013,22,iq,116.0
2013,23,iq,116.0
2013,24,iq,116.0
2013,25,iq,116.0
2013,26,iq,116.0
