year,weekofyear,city,total_cases
2008,18,sj,35.745167
2008,19,sj,35.922756
2008,20,sj,39.638756
2008,21,sj,38.17061
2008,22,sj,38.273857
2008,23,sj,42.2268
2008,24,sj,41.554962
2008,25,sj,44.278477
2008,26,sj,44.662277
2008,27,sj,46.516613
2008,28,sj,42.959774
2008,29,sj,46.91972
2008,30,sj,46.26782
2008,31,sj,45.69501
2008,32,sj,48.03587
2008,33,sj,48.802967
2008,34,sj,47.854958
2008,35,sj,49.496914
2008,36,sj,51.44123
2008,37,sj,48.690628
2008,38,sj,48.85443
2008,39,sj,44.853523
2008,40,sj,45.524693
2008,41,sj,45.104507
2008,42,sj,43.4454
2008,43,sj,42.856045
2008,44,sj,41.508644
2008,45,sj,46.213886
2008,46,sj,43.413612
2008,47,sj,42.0209
2008,48,sj,37.953144
2008,49,sj,28.973839
2008,50,sj,32.122646
2008,51,sj,34.06763
2008,52,sj,28.83699
2009,1,sj,34.89193
2009,2,sj,28.834255
2009,3,sj,34.580505
2009,4,sj,34.431473
2009,5,sj,35.908783
2009,6,sj,32.918594
2009,7,sj,31.149887
2009,8,sj,28.412523
2009,9,sj,27.70698
2009,10,sj,30.577566
2009,11,sj,27.830084
2009,12,sj,24.923006
2009,13,sj,27.842068
2009,14,sj,25.289192
2009,15,sj,29.608238
2009,16,sj,32.43024
2009,17,sj,32.855026
2009,18,sj,34.467422
2009,19,sj,32.794415
2009,20,sj,39.132477
2009,21,sj,37.713173
2009,22,sj,45.468235
2009,23,sj,41.51086
2009,24,sj,42.33548
2009,25,sj,44.818306
2009,26,sj,43.115154
2009,27,sj,47.2241
2009,28,sj,45.285473
2009,29,sj,49.342644
2009,30,sj,47.695793
2009,31,sj,46.883984
2009,32,sj,47.804764
2009,33,sj,47.72743
2009,34,sj,48.933586
2009,35,sj,51.49572
2009,36,sj,46.58836
2009,37,sj,46.751568
2009,38,sj,47.481243
2009,39,sj,45.389557
2009,40,sj,50.16592
2009,41,sj,50.863354
2009,42,sj,50.916145
2009,43,sj,48.115814
2009,44,sj,45.166695
2009,45,sj,43.582592
2009,46,sj,42.45745
2009,47,sj,44.69228
2009,48,sj,45.12271
2009,49,sj,40.82279
2009,50,sj,40.850227
2009,51,sj,39.31645
2009,52,sj,37.757988
2010,53,sj,34.89193
2010,1,sj,36.60605
2010,2,sj,34.11233
2010,3,sj,38.25262
2010,4,sj,38.445614
2010,5,sj,28.437498
2010,6,sj,32.006474
2010,7,sj,35.32276
2010,8,sj,36.00825
2010,9,sj,41.888042
2010,10,sj,34.28017
2010,11,sj,35.07687
2010,12,sj,40.53886
2010,13,sj,39.077408
2010,14,sj,32.702415
2010,15,sj,31.822212
2010,16,sj,39.075127
2010,17,sj,45.573593
2010,18,sj,43.99062
2010,19,sj,41.551723
2010,20,sj,45.5872
2010,21,sj,45.683247
2010,22,sj,52.372486
2010,23,sj,50.906822
2010,24,sj,49.108932
2010,25,sj,47.657326
2010,26,sj,48.564983
2010,27,sj,50.594944
2010,28,sj,50.52149
2010,29,sj,48.477192
2010,30,sj,48.045967
2010,31,sj,50.183773
2010,32,sj,51.128872
2010,33,sj,50.78138
2010,34,sj,51.195942
2010,35,sj,50.565727
2010,36,sj,51.440315
2010,37,sj,50.52561
2010,38,sj,49.41707
2010,39,sj,48.371
2010,40,sj,50.13272
2010,41,sj,50.56375
2010,42,sj,47.26147
2010,43,sj,42.76343
2010,44,sj,42.62099
2010,45,sj,45.103867
2010,46,sj,38.2712
2010,47,sj,32.997135
2010,48,sj,30.758951
2010,49,sj,22.918455
2010,50,sj,38.06711
2010,51,sj,32.668694
2011,52,sj,32.077087
2011,1,sj,28.63962
2011,2,sj,35.145584
2011,3,sj,35.70889
2011,4,sj,33.264496
2011,5,sj,30.592037
2011,6,sj,31.997005
2011,7,sj,34.32787
2011,8,sj,33.351627
2011,9,sj,25.229198
2011,10,sj,27.863014
2011,11,sj,23.276617
2011,12,sj,26.71848
2011,13,sj,32.494675
2011,14,sj,36.296364
2011,15,sj,31.50378
2011,16,sj,33.34307
2011,17,sj,33.3038
2011,18,sj,38.805157
2011,19,sj,32.924618
2011,20,sj,37.485767
2011,21,sj,41.412678
2011,22,sj,46.79686
2011,23,sj,43.219433
2011,24,sj,49.79746
2011,25,sj,47.644165
2011,26,sj,47.33116
2011,27,sj,48.54821
2011,28,sj,47.361847
2011,29,sj,45.287262
2011,30,sj,50.90677
2011,31,sj,47.440323
2011,32,sj,49.1224
2011,33,sj,47.48921
2011,34,sj,50.64226
2011,35,sj,47.728065
2011,36,sj,47.454502
2011,37,sj,50.846996
2011,38,sj,45.93057
2011,39,sj,48.221745
2011,40,sj,48.461926
2011,41,sj,44.991215
2011,42,sj,44.16433
2011,43,sj,41.42064
2011,44,sj,45.196026
2011,45,sj,43.22448
2011,46,sj,43.951313
2011,47,sj,42.09173
2011,48,sj,40.066414
2011,49,sj,34.757217
2011,50,sj,39.354267
2011,51,sj,30.327934
2012,52,sj,32.02912
2012,1,sj,34.99806
2012,2,sj,33.76181
2012,3,sj,31.79938
2012,4,sj,29.102867
2012,5,sj,28.992805
2012,6,sj,31.231304
2012,7,sj,32.261726
2012,8,sj,29.662888
2012,9,sj,31.282629
2012,10,sj,32.738346
