city,year,weekofyear,total_cases
sj,2008,18,37
sj,2008,19,42
sj,2008,20,17
sj,2008,21,21
sj,2008,22,75
sj,2008,23,34
sj,2008,24,30
sj,2008,25,26
sj,2008,26,33
sj,2008,27,34
sj,2008,28,34
sj,2008,29,32
sj,2008,30,30
sj,2008,31,35
sj,2008,32,39
sj,2008,33,132
sj,2008,34,37
sj,2008,35,36
sj,2008,36,38
sj,2008,37,40
sj,2008,38,35
sj,2008,39,44
sj,2008,40,36
sj,2008,41,33
sj,2008,42,34
sj,2008,43,34
sj,2008,44,32
sj,2008,45,37
sj,2008,46,31
sj,2008,47,36
sj,2008,48,34
sj,2008,49,21
sj,2008,50,29
sj,2008,51,31
sj,2008,52,29
sj,2009,1,33
sj,2009,2,26
sj,2009,3,26
sj,2009,4,31
sj,2009,5,30
sj,2009,6,24
sj,2009,7,30
sj,2009,8,30
sj,2009,9,25
sj,2009,10,29
sj,2009,11,40
sj,2009,12,28
sj,2009,13,28
sj,2009,14,21
sj,2009,15,24
sj,2009,16,17
sj,2009,17,21
sj,2009,18,29
sj,2009,19,91
sj,2009,20,34
sj,2009,21,38
sj,2009,22,37
sj,2009,23,31
sj,2009,24,49
sj,2009,25,32
sj,2009,26,34
sj,2009,27,32
sj,2009,28,34
sj,2009,29,34
sj,2009,30,35
sj,2009,31,33
sj,2009,32,34
sj,2009,33,33
sj,2009,34,42
sj,2009,35,36
sj,2009,36,32
sj,2009,37,38
sj,2009,38,66
sj,2009,39,34
sj,2009,40,34
sj,2009,41,38
sj,2009,42,35
sj,2009,43,34
sj,2009,44,33
sj,2009,45,30
sj,2009,46,34
sj,2009,47,31
sj,2009,48,32
sj,2009,49,30
sj,2009,50,31
sj,2009,51,30
sj,2009,52,25
sj,2010,53,50
sj,2010,1,29
sj,2010,2,28
sj,2010,3,31
sj,2010,4,30
sj,2010,5,24
sj,2010,6,24
sj,2010,7,24
sj,2010,8,38
sj,2010,9,28
sj,2010,10,196
sj,2010,11,32
sj,2010,12,28
sj,2010,13,28
sj,2010,14,30
sj,2010,15,26
sj,2010,16,34
sj,2010,17,142
sj,2010,18,34
sj,2010,19,31
sj,2010,20,36
sj,2010,21,34
sj,2010,22,80
sj,2010,23,34
sj,2010,24,31
sj,2010,25,42
sj,2010,26,37
sj,2010,27,36
sj,2010,28,37
sj,2010,29,167
sj,2010,30,38
sj,2010,31,35
sj,2010,32,62
sj,2010,33,38
sj,2010,34,35
sj,2010,35,43
sj,2010,36,36
sj,2010,37,40
sj,2010,38,30
sj,2010,39,33
sj,2010,40,38
sj,2010,41,38
sj,2010,42,27
sj,2010,43,29
sj,2010,44,36
sj,2010,45,51
sj,2010,46,30
sj,2010,47,31
