city,year,weekofyear,total_cases
sj,2008,18,35
sj,2008,19,35
sj,2008,20,39
sj,2008,21,38
sj,2008,22,38
sj,2008,23,42
sj,2008,24,41
sj,2008,25,44
sj,2008,26,44
sj,2008,27,46
sj,2008,28,42
sj,2008,29,46
sj,2008,30,46
sj,2008,31,45
sj,2008,32,48
sj,2008,33,48
sj,2008,34,47
sj,2008,35,49
sj,2008,36,51
sj,2008,37,48
sj,2008,38,48
sj,2008,39,44
sj,2008,40,45
sj,2008,41,45
sj,2008,42,43
sj,2008,43,42
sj,2008,44,41
sj,2008,45,46
sj,2008,46,43
sj,2008,47,42
sj,2008,48,37
sj,2008,49,28
sj,2008,50,32
sj,2008,51,34
sj,2008,52,28
sj,2009,1,34
sj,2009,2,28
sj,2009,3,34
sj,2009,4,34
sj,2009,5,35
sj,2009,6,32
sj,2009,7,31
sj,2009,8,28
sj,2009,9,27
sj,2009,10,30
sj,2009,11,27
sj,2009,12,24
sj,2009,13,27
sj,2009,14,25
sj,2009,15,29
sj,2009,16,32
sj,2009,17,32
sj,2009,18,34
sj,2009,19,32
sj,2009,20,39
sj,2009,21,37
sj,2009,22,45
sj,2009,23,41
sj,2009,24,42
sj,2009,25,44
sj,2009,26,43
sj,2009,27,47
sj,2009,28,45
sj,2009,29,49
sj,2009,30,47
sj,2009,31,46
sj,2009,32,47
sj,2009,33,47
sj,2009,34,48
sj,2009,35,51
sj,2009,36,46
sj,2009,37,46
sj,2009,38,47
sj,2009,39,45
sj,2009,40,50
sj,2009,41,50
sj,2009,42,50
sj,2009,43,48
sj,2009,44,45
sj,2009,45,43
sj,2009,46,42
sj,2009,47,44
sj,2009,48,45
sj,2009,49,40
sj,2009,50,40
sj,2009,51,39
sj,2009,52,37
sj,2010,53,34
sj,2010,1,36
sj,2010,2,34
sj,2010,3,38
sj,2010,4,38
sj,2010,5,28
sj,2010,6,32
sj,2010,7,35
sj,2010,8,36
sj,2010,9,41
sj,2010,10,34
sj,2010,11,35
sj,2010,12,40
sj,2010,13,39
sj,2010,14,32
sj,2010,15,31
sj,2010,16,39
sj,2010,17,45
sj,2010,18,43
sj,2010,19,41
sj,2010,20,45
sj,2010,21,45
sj,2010,22,52
sj,2010,23,50
sj,2010,24,49
sj,2010,25,47
sj,2010,26,48
sj,2010,27,50
sj,2010,28,50
sj,2010,29,48
sj,2010,30,48
sj,2010,31,50
sj,2010,32,51
sj,2010,33,50
sj,2010,34,51
sj,2010,35,50
sj,2010,36,51
sj,2010,37,50
sj,2010,38,49
sj,2010,39,48
sj,2010,40,50
sj,2010,41,50
sj,2010,42,47
sj,2010,43,42
sj,2010,44,42
sj,2010,45,45
sj,2010,46,38
sj,2010,47,32
sj,2010,48,30
sj,2010,49,22
sj,2010,50,38
sj,2010,51,32
sj,2011,52,32
sj,2011,1,28
sj,2011,2,35
sj,2011,3,35
sj,2011,4,33
sj,2011,5,30
sj,2011,6,31
sj,2011,7,34
sj,2011,8,33
sj,2011,9,25
sj,2011,10,27
sj,2011,11,23
sj,2011,12,26
sj,2011,13,32
sj,2011,14,36
sj,2011,15,31
sj,2011,16,33
sj,2011,17,33
sj,2011,18,38
sj,2011,19,32
sj,2011,20,37
sj,2011,21,41
sj,2011,22,46
sj,2011,23,43
sj,2011,24,49
sj,2011,25,47
sj,2011,26,47
sj,2011,27,48
sj,2011,28,47
sj,2011,29,45
sj,2011,30,50
sj,2011,31,47
sj,2011,32,49
sj,2011,33,47
sj,2011,34,50
sj,2011,35,47
sj,2011,36,47
sj,2011,37,50
sj,2011,38,45
sj,2011,39,48
sj,2011,40,48
sj,2011,41,44
sj,2011,42,44
sj,2011,43,41
sj,2011,44,45
sj,2011,45,43
sj,2011,46,43
sj,2011,47,42
sj,2011,48,40
sj,2011,49,34
sj,2011,50,39
sj,2011,51,30
sj,2012,52,32
sj,2012,1,34
sj,2012,2,33
sj,2012,3,31
sj,2012,4,29
sj,2012,5,28
sj,2012,6,31
sj,2012,7,32
sj,2012,8,29
sj,2012,9,31
sj,2012,10,32
sj,2012,11,31
sj,2012,12,29
sj,2012,13,33
sj,2012,14,36
sj,2012,15,37
sj,2012,16,36
sj,2012,17,31
sj,2012,18,41
sj,2012,19,38
sj,2012,20,45
sj,2012,21,44
sj,2012,22,39
sj,2012,23,45
sj,2012,24,45
sj,2012,25,47
sj,2012,26,47
sj,2012,27,46
sj,2012,28,45
sj,2012,29,48
sj,2012,30,49
sj,2012,31,47
sj,2012,32,48
sj,2012,33,48
sj,2012,34,49
sj,2012,35,46
sj,2012,36,47
sj,2012,37,46
sj,2012,38,47
sj,2012,39,48
sj,2012,40,47
sj,2012,41,45
sj,2012,42,48
sj,2012,43,47
sj,2012,44,48
sj,2012,45,46
sj,2012,46,44
sj,2012,47,46
sj,2012,48,42
sj,2012,49,39
sj,2012,50,36
sj,2012,51,33
sj,2013,1,35
sj,2013,2,34
sj,2013,3,29
sj,2013,4,30
sj,2013,5,34
sj,2013,6,29
sj,2013,7,29
sj,2013,8,28
sj,2013,9,31
sj,2013,10,30
sj,2013,11,27
sj,2013,12,24
sj,2013,13,37
sj,2013,14,36
sj,2013,15,38
sj,2013,16,38
sj,2013,17,34
iq,2010,26,4
iq,2010,27,1
iq,2010,28,6
iq,2010,29,0
iq,2010,30,0
iq,2010,31,2
iq,2010,32,0
iq,2010,33,1
iq,2010,34,0
iq,2010,35,2
iq,2010,36,3
iq,2010,37,0
iq,2010,38,4
iq,2010,39,0
iq,2010,40,0
iq,2010,41,2
iq,2010,42,5
iq,2010,43,7
iq,2010,44,11
iq,2010,45,6
iq,2010,46,6
iq,2010,47,8
iq,2010,48,7
iq,2010,49,9
iq,2010,50,5
iq,2010,51,1
iq,2011,52,4
iq,2011,1,1
iq,2011,2,5
iq,2011,3,5
iq,2011,4,0
iq,2011,5,4
iq,2011,6,6
iq,2011,7,6
iq,2011,8,7
iq,2011,9,8
iq,2011,10,5
iq,2011,11,5
iq,2011,12,7
iq,2011,13,7
iq,2011,14,8
iq,2011,15,5
iq,2011,16,5
iq,2011,17,7
iq,2011,18,8
iq,2011,19,0
iq,2011,20,3
iq,2011,21,16
iq,2011,22,13
iq,2011,23,11
iq,2011,24,13
iq,2011,25,7
iq,2011,26,11
iq,2011,27,12
iq,2011,28,2
iq,2011,29,0
iq,2011,30,0
iq,2011,31,0
iq,2011,32,0
iq,2011,33,0
iq,2011,34,0
iq,2011,35,0
iq,2011,36,0
iq,2011,37,1
iq,2011,38,2
iq,2011,39,4
iq,2011,40,4
iq,2011,41,6
iq,2011,42,7
iq,2011,43,5
iq,2011,44,4
iq,2011,45,6
iq,2011,46,7
iq,2011,47,7
iq,2011,48,6
iq,2011,49,7
iq,2011,50,6
iq,2011,51,6
iq,2012,52,7
iq,2012,1,10
iq,2012,2,5
iq,2012,3,4
iq,2012,4,3
iq,2012,5,6
iq,2012,6,7
iq,2012,7,4
iq,2012,8,2
iq,2012,9,3
iq,2012,10,5
iq,2012,11,3
iq,2012,12,2
iq,2012,13,6
iq,2012,14,4
iq,2012,15,6
iq,2012,16,7
iq,2012,17,5
iq,2012,18,5
iq,2012,19,1
iq,2012,20,5
iq,2012,21,1
iq,2012,22,0
iq,2012,23,2
iq,2012,24,1
iq,2012,25,2
iq,2012,26,1
iq,2012,27,0
iq,2012,28,0
iq,2012,29,2
iq,2012,30,0
iq,2012,31,0
iq,2012,32,0
iq,2012,33,0
iq,2012,34,2
iq,2012,35,0
iq,2012,36,3
iq,2012,37,0
iq,2012,38,0
iq,2012,39,1
iq,2012,40,0
iq,2012,41,5
iq,2012,42,4
iq,2012,43,7
iq,2012,44,5
iq,2012,45,5
iq,2012,46,8
iq,2012,47,10
iq,2012,48,11
iq,2012,49,6
iq,2012,50,8
iq,2012,51,9
iq,2013,1,6
iq,2013,2,2
iq,2013,3,2
iq,2013,4,6
iq,2013,5,4
iq,2013,6,8
iq,2013,7,5
iq,2013,8,7
iq,2013,9,5
iq,2013,10,6
iq,2013,11,8
iq,2013,12,10
iq,2013,13,8
iq,2013,14,6
iq,2013,15,5
iq,2013,16,7
iq,2013,17,6
iq,2013,18,0
iq,2013,19,7
iq,2013,20,5
iq,2013,21,4
iq,2013,22,3
iq,2013,23,4
iq,2013,24,1
iq,2013,25,0
iq,2013,26,0
