city,year,weekofyear,total_cases
sj,2008,18,461
sj,2008,19,461
sj,2008,20,461
sj,2008,21,461
sj,2008,22,461
sj,2008,23,461
sj,2008,24,461
sj,2008,25,461
sj,2008,26,461
sj,2008,27,461
sj,2008,28,461
sj,2008,29,461
sj,2008,30,461
sj,2008,31,461
sj,2008,32,461
sj,2008,33,461
sj,2008,34,461
sj,2008,35,461
sj,2008,36,461
sj,2008,37,461
sj,2008,38,461
sj,2008,39,461
sj,2008,40,461
sj,2008,41,461
sj,2008,42,461
sj,2008,43,461
sj,2008,44,461
sj,2008,45,461
sj,2008,46,461
sj,2008,47,461
sj,2008,48,461
sj,2008,49,461
sj,2008,50,461
sj,2008,51,461
sj,2008,52,461
sj,2009,1,461
sj,2009,2,461
sj,2009,3,461
sj,2009,4,461
sj,2009,5,461
sj,2009,6,461
sj,2009,7,461
sj,2009,8,461
sj,2009,9,461
sj,2009,10,461
sj,2009,11,461
sj,2009,12,461
sj,2009,13,461
sj,2009,14,461
sj,2009,15,461
sj,2009,16,461
sj,2009,17,461
sj,2009,18,461
sj,2009,19,461
sj,2009,20,461
sj,2009,21,461
sj,2009,22,461
sj,2009,23,461
sj,2009,24,461
sj,2009,25,461
sj,2009,26,461
sj,2009,27,461
sj,2009,28,461
sj,2009,29,461
sj,2009,30,461
sj,2009,31,461
sj,2009,32,461
sj,2009,33,461
sj,2009,34,461
sj,2009,35,461
sj,2009,36,461
sj,2009,37,461
sj,2009,38,461
sj,2009,39,461
sj,2009,40,461
sj,2009,41,461
sj,2009,42,461
sj,2009,43,461
sj,2009,44,461
sj,2009,45,461
sj,2009,46,461
sj,2009,47,461
sj,2009,48,461
sj,2009,49,461
sj,2009,50,461
sj,2009,51,461
sj,2009,52,461
sj,2010,53,461
sj,2010,1,461
sj,2010,2,461
sj,2010,3,461
sj,2010,4,461
sj,2010,5,461
sj,2010,6,461
sj,2010,7,461
sj,2010,8,461
sj,2010,9,461
sj,2010,10,461
sj,2010,11,461
sj,2010,12,461
sj,2010,13,461
sj,2010,14,461
sj,2010,15,461
sj,2010,16,461
sj,2010,17,461
sj,2010,18,461
sj,2010,19,461
sj,2010,20,461
sj,2010,21,461
sj,2010,22,461
sj,2010,23,461
sj,2010,24,461
sj,2010,25,461
sj,2010,26,461
sj,2010,27,461
sj,2010,28,461
sj,2010,29,461
sj,2010,30,461
sj,2010,31,461
sj,2010,32,461
sj,2010,33,461
sj,2010,34,461
sj,2010,35,461
sj,2010,36,461
sj,2010,37,461
sj,2010,38,461
sj,2010,39,461
sj,2010,40,461
sj,2010,41,461
sj,2010,42,461
sj,2010,43,461
sj,2010,44,461
sj,2010,45,461
sj,2010,46,461
sj,2010,47,461
sj,2010,48,461
sj,2010,49,461
sj,2010,50,461
sj,2010,51,461
sj,2011,52,461
sj,2011,1,461
sj,2011,2,461
sj,2011,3,461
sj,2011,4,461
sj,2011,5,461
sj,2011,6,461
sj,2011,7,461
sj,2011,8,461
sj,2011,9,461
sj,2011,10,461
sj,2011,11,461
sj,2011,12,461
sj,2011,13,461
sj,2011,14,461
sj,2011,15,461
sj,2011,16,461
sj,2011,17,461
sj,2011,18,461
sj,2011,19,461
sj,2011,20,461
sj,2011,21,461
sj,2011,22,461
sj,2011,23,461
sj,2011,24,461
sj,2011,25,461
sj,2011,26,461
sj,2011,27,461
sj,2011,28,461
sj,2011,29,461
sj,2011,30,461
sj,2011,31,461
sj,2011,32,461
sj,2011,33,461
sj,2011,34,461
sj,2011,35,461
sj,2011,36,461
sj,2011,37,461
sj,2011,38,461
sj,2011,39,461
sj,2011,40,461
sj,2011,41,461
sj,2011,42,461
sj,2011,43,461
sj,2011,44,461
sj,2011,45,461
sj,2011,46,461
sj,2011,47,461
sj,2011,48,461
sj,2011,49,461
sj,2011,50,461
sj,2011,51,461
sj,2012,52,461
sj,2012,1,461
sj,2012,2,461
sj,2012,3,461
sj,2012,4,461
sj,2012,5,461
sj,2012,6,461
sj,2012,7,461
sj,2012,8,461
sj,2012,9,461
sj,2012,10,461
sj,2012,11,461
sj,2012,12,461
sj,2012,13,461
sj,2012,14,461
sj,2012,15,461
sj,2012,16,461
sj,2012,17,461
sj,2012,18,461
sj,2012,19,461
sj,2012,20,461
sj,2012,21,461
sj,2012,22,461
sj,2012,23,461
sj,2012,24,461
sj,2012,25,461
sj,2012,26,461
sj,2012,27,461
sj,2012,28,461
sj,2012,29,461
sj,2012,30,461
sj,2012,31,461
sj,2012,32,461
sj,2012,33,461
sj,2012,34,461
sj,2012,35,461
sj,2012,36,461
sj,2012,37,461
sj,2012,38,461
sj,2012,39,461
sj,2012,40,461
sj,2012,41,461
sj,2012,42,461
sj,2012,43,461
sj,2012,44,461
sj,2012,45,461
sj,2012,46,461
sj,2012,47,461
sj,2012,48,461
sj,2012,49,461
sj,2012,50,461
sj,2012,51,461
sj,2013,1,461
sj,2013,2,461
sj,2013,3,461
sj,2013,4,461
sj,2013,5,461
sj,2013,6,461
sj,2013,7,461
sj,2013,8,461
sj,2013,9,461
sj,2013,10,461
sj,2013,11,461
sj,2013,12,461
sj,2013,13,461
sj,2013,14,461
sj,2013,15,461
sj,2013,16,461
sj,2013,17,461
iq,2010,26,116
iq,2010,27,116
iq,2010,28,116
iq,2010,29,116
iq,2010,30,116
iq,2010,31,116
iq,2010,32,116
iq,2010,33,116
iq,2010,34,116
iq,2010,35,116
iq,2010,36,116
iq,2010,37,116
iq,2010,38,116
iq,2010,39,116
iq,2010,40,116
iq,2010,41,116
iq,2010,42,116
iq,2010,43,116
iq,2010,44,116
iq,2010,45,116
iq,2010,46,116
iq,2010,47,116
iq,2010,48,116
iq,2010,49,116
iq,2010,50,116
iq,2010,51,116
iq,2011,52,116
iq,2011,1,116
iq,2011,2,116
iq,2011,3,116
iq,2011,4,116
iq,2011,5,116
iq,2011,6,116
iq,2011,7,116
iq,2011,8,116
iq,2011,9,116
iq,2011,10,116
iq,2011,11,116
iq,2011,12,116
iq,2011,13,116
iq,2011,14,116
iq,2011,15,116
iq,2011,16,116
iq,2011,17,116
iq,2011,18,116
